Time (days),Final Effluent COD - Total,Final Effluent BOD - Total Carbonaceous,Final Effluent N - Total Kjeldahl Nitrogen,Final Effluent P - Total P,Final Effluent pH,Final Effluent Total suspended solids,Final Effluent Volatile suspended solids,Final Effluent Gas - Dissolved oxygen,Final Effluent P - Soluble phosphate,Final Effluent N - Ammonia,Final Effluent N - Nitrate,Final Effluent N - Nitrite,Final Effluent Alkalinity,Final Effluent Flow,PST x3 COD - Total,PST x3 BOD - Total Carbonaceous,PST x3 N - Total Kjeldahl Nitrogen,PST x3 P - Total P,PST x3 pH,PST x3 Total suspended solids,PST x3 Volatile suspended solids,PST x3 Element HRT,PST x3 Gas - Dissolved oxygen,PST x3 P - Soluble phosphate,PST x3 N - Ammonia,PST x3 N - Nitrate,PST x3 N - Nitrite,PST x3 Alkalinity,PST x3 Flow,ML Recycle COD - Total,ML Recycle BOD - Total Carbonaceous,ML Recycle N - Total Kjeldahl Nitrogen,ML Recycle N - Total Kjeldahl Nitrogen (U),ML Recycle P - Total P,ML Recycle pH,ML Recycle Total suspended solids,ML Recycle Volatile suspended solids,ML Recycle Gas - Dissolved oxygen,ML Recycle P - Soluble phosphate,ML Recycle N - Ammonia,ML Recycle N - Ammonia (U),ML Recycle N - Nitrate,ML Recycle N - Nitrite,ML Recycle Alkalinity,ML Recycle Flow,ML Recycle Flow (S),FST x5 COD - Total,FST x5 BOD - Total Carbonaceous,FST x5 N - Total Kjeldahl Nitrogen,FST x5 P - Total P,FST x5 pH,FST x5 Total suspended solids,FST x5 Total suspended solids (U),FST x5 Volatile suspended solids,FST x5 Element HRT,FST x5 Gas - Dissolved oxygen,FST x5 P - Soluble phosphate,FST x5 N - Ammonia,FST x5 N - Nitrate,FST x5 N - Nitrite,FST x5 Alkalinity,FST x5 Flow,AERZ4 x2 (45) COD - Total,AERZ4 x2 (45) BOD - Total Carbonaceous,AERZ4 x2 (45) N - Total Kjeldahl Nitrogen,AERZ4 x2 (45) P - Total P,AERZ4 x2 (45) pH,AERZ4 x2 (45) Total suspended solids,AERZ4 x2 (45) Volatile suspended solids,AERZ4 x2 (45) Element HRT,AERZ4 x2 (45) Gas - Dissolved oxygen,AERZ4 x2 (45) P - Soluble phosphate,AERZ4 x2 (45) N - Ammonia,AERZ4 x2 (45) N - Nitrate,AERZ4 x2 (45) N - Nitrite,AERZ4 x2 (45) Alkalinity,AERZ4 x2 (45) Flow,AXZ1 x2 COD - Total,AXZ1 x2 BOD - Total Carbonaceous,AXZ1 x2 N - Total Kjeldahl Nitrogen,AXZ1 x2 P - Total P,AXZ1 x2 pH,AXZ1 x2 Total suspended solids,AXZ1 x2 Volatile suspended solids,AXZ1 x2 Element HRT,AXZ1 x2 Gas - Dissolved oxygen,AXZ1 x2 P - Soluble phosphate,AXZ1 x2 N - Ammonia,AXZ1 x2 N - Nitrate,AXZ1 x2 N - Nitrite,AXZ1 x2 Alkalinity,AXZ1 x2 Flow
42106.417,29.79588,3.434261,2.275926,6.78943,6.983777,5.297056,1.915838,0.026826,6.195837,0.863194,6.543188,0.621178,4.425618,43979,212.29925,101.92695,32.71179,11.129554,7.368217,83.56716,58.979462,4.354833,0.191132,7.732647,27.042914,0.636237,0.164843,6.46229,47879,2600.8776,873.05434,162.52805,162.52805,831.29781,7.522673,6400.1335,1741.9164,0.950502,7.351881,0.298913,0.298913,5.699156,0.380262,4.423075,101879,54000,29.79588,3.434261,2.275926,6.78943,6.983777,5.297056,9977.1672,1.915838,4.982292,0.026826,6.195837,0.863194,6.543188,0.621178,4.425618,43979,2510.0663,844.52143,158.49327,798.37728,7.543229,6151.7938,1679.9251,0.205082,1.981894,7.548865,2.290047,3.472799,1.174416,4.663011,155879,2344.4633,793.93342,153.11518,735.44117,7.438978,5675.9901,1560.1767,0.223866,0.002414,7.946305,8.742312,1.118049,0.115923,5.319183,155879
42106.458,30.264607,3.141574,2.117151,8.193498,7.154215,10.202392,3.309995,0.005298,6.980118,0.684456,6.046872,0.497317,4.46622,66629,237.08499,115.10129,33.387268,10.015196,7.353899,86.182719,64.735,2.960257,0.151799,7.067047,27.216255,0.494633,0.148325,6.378087,70529,2396.8031,804.43542,150.7939,150.7939,761.45272,7.490292,5866.1855,1603.4183,0.955002,7.752697,1.636671,1.636671,4.635239,1.562133,4.492743,124529,54000,30.264607,3.141574,2.117151,8.193498,7.154215,10.202392,10761.09,3.309995,4.046788,0.005298,6.980118,0.684456,6.046872,0.497317,4.46622,66629,2274.7496,766.25518,146.16035,716.72228,7.547318,5529.0061,1519.6942,0.179063,2.000538,8.162596,5.293908,2.425032,1.311692,4.904887,178529,2125.0179,723.5243,140.99171,655.4905,7.420175,5067.799,1403.884,0.195464,0.002116,8.347857,11.4989,0.572809,0.194842,5.48019,178529
42106.5,31.699834,3.313094,2.058266,9.527249,7.332723,16.683495,4.915906,0.000738,7.450726,0.573179,5.619158,0.41618,4.490019,77129,256.61934,125.53144,33.912379,9.065758,7.341772,87.889241,69.201901,2.577602,0.120819,6.512893,27.341908,0.360741,0.14566,6.309873,81029,2163.6936,727.80787,138.46331,138.46331,678.94282,7.49605,5240.814,1444.5643,0.992323,8.204355,4.474701,4.474701,3.57621,1.997262,4.689256,135029,54000,31.699834,3.313094,2.058266,9.527249,7.332723,16.683495,10989.625,4.915906,3.722746,0.000738,7.450726,0.573179,5.619158,0.41618,4.490019,77129,2086.6392,705.19205,136.35768,647.92387,7.552326,5009.7021,1390.6695,0.169117,1.998453,9.13005,8.119071,1.917619,1.291804,5.079087,189029,2008.7676,687.48658,134.54796,609.4412,7.410252,4723.0809,1318.9231,0.184607,0.002098,8.622992,13.279982,0.284663,0.161755,5.563122,189029
42106.542,33.289679,3.672639,2.454001,10.561162,7.442008,21.88703,6.207334,0.000086,7.792577,0.927998,5.071113,0.62955,4.522228,78379,269.8668,132.5614,34.481607,8.489569,7.334614,88.932867,72.240336,2.538537,0.102588,6.200181,27.626519,0.26829,0.146448,6.271806,82279,2026.4005,683.64187,131.41795,131.41795,626.99509,7.506282,4853.1994,1350.2678,0.996557,8.619052,6.625921,6.625921,3.105346,2.058441,4.807751,136279,54000,33.289679,3.672639,2.454001,10.561162,7.442007,21.88703,10044.072,6.207334,3.687594,0.000086,7.792577,0.927998,5.071113,0.62955,4.522228,78379,1983.6884,672.52767,130.90534,607.26906,7.556028,4707.7257,1319.3919,0.168006,2.002778,9.956251,9.813057,1.732667,1.279737,5.15012,190279,1870.0412,642.97708,126.19688,557.87278,7.405875,4334.4279,1221.1895,0.183394,0.002153,8.822292,14.254157,0.198551,0.143357,5.586723,190279
42106.583,35.268648,4.214659,3.559832,11.512774,7.48662,26.634775,7.469036,0.000008,8.128939,1.980191,4.224848,0.992132,4.60502,74029,273.72935,134.6831,34.939184,8.213925,7.331501,88.687779,73.01439,2.679876,0.094527,6.076834,27.920278,0.21549,0.150833,6.257492,77929,1920.714,649.65826,125.56558,125.56558,586.41955,7.513141,4552.0787,1277.6148,1.005039,8.781948,7.83002,7.83002,2.905232,2.07481,4.852372,131929,54000,35.268648,4.214659,3.559832,11.512774,7.486619,26.634775,9604.3856,7.469036,3.812886,0.000008,8.128939,1.980191,4.224848,0.992132,4.60502,74029,1876.4945,637.93221,124.64951,566.64394,7.55951,4404.6467,1245.7125,0.171937,2.006595,10.302078,10.723825,1.63191,1.266877,5.174077,185929,1824.7133,628.7548,123.49286,538.16366,7.40491,4192.2802,1189.7131,0.187685,0.002177,8.979101,14.673745,0.140518,0.127719,5.586548,185929
42106.625,38.000843,4.988611,5.132221,12.546452,7.504387,32.306023,9.03085,0.000001,8.437921,3.451293,3.193639,1.222171,4.731213,68879,275.28892,135.52494,34.918603,8.092752,7.330766,88.305966,73.29692,2.86899,0.092381,6.048492,27.912513,0.18687,0.157548,6.256634,72779,1839.6738,623.51095,120.84795,120.84795,555.04884,7.517169,4320.5926,1222.0357,1.00279,8.694196,8.44654,8.44654,2.784686,2.07525,4.865528,126779,54000,38.000843,4.988611,5.132221,12.546452,7.504386,32.306023,9848.7893,9.03085,3.972689,0.000001,8.437921,3.451293,3.193639,1.222171,4.731213,68879,1826.0539,621.97201,121.66462,545.43034,7.561851,4251.0283,1210.9346,0.176835,1.999456,10.340362,11.140448,1.596629,1.274582,5.172486,180779,1859.3485,641.35576,125.60027,543.4404,7.398224,4246.5492,1213.4622,0.193031,0.002109,9.242947,14.893772,0.079974,0.072141,5.589833,180779
42106.667,39.287161,5.222043,6.630557,13.000286,7.514957,33.959087,9.488091,0,8.681429,4.926888,2.160512,1.220185,4.869458,63879,272.30368,134.02137,34.625507,8.035157,7.331407,87.040681,72.462187,3.08001,0.093458,6.051136,27.725664,0.173089,0.166272,6.263167,67779,1821.7458,618.37137,119.78672,119.78672,544.41372,7.51879,4249.7242,1209.4552,0.993948,8.486874,8.66237,8.66237,2.778875,2.117955,4.853428,121779,54000,39.287161,5.222043,6.630557,13.000286,7.514957,33.959087,10214.83,9.488091,4.141196,0,8.681429,4.926888,2.160512,1.220185,4.869458,63879,1855.5884,633.04629,123.41166,549.36489,7.56294,4294.3313,1230.4628,0.181865,1.982638,10.301045,11.244065,1.641082,1.324201,5.154804,175779,1973.8937,680.95081,132.58386,573.07935,7.389011,4493.4473,1292.2501,0.198522,0.001975,9.670798,15.002332,0.053729,0.035562,5.592486,175779
42106.708,39.551694,5.079096,7.877406,13.039405,7.523769,32.940189,9.207755,0,8.851685,6.201338,1.314172,1.064561,4.990271,60929,263.73251,129.69717,34.137714,7.954908,7.332402,84.614252,70.211308,3.219733,0.095428,6.017943,27.388413,0.168364,0.175898,6.271154,64829,1889.4507,642.28407,123.74494,123.74494,560.19804,7.518324,4386.8714,1254.902,0.984811,8.169111,8.530718,8.530718,2.905149,2.226856,4.815673,118829,54000,39.551694,5.079096,7.877406,13.039405,7.523768,32.940189,9641.1719,9.207755,4.247492,0,8.851685,6.201338,1.314172,1.064561,4.990271,60929,1940.6327,663.014,128.45305,570.25348,7.565593,4471.845,1287.6647,0.184969,1.9884,10.090697,11.140884,1.752343,1.409293,5.126465,172829,1959.752,676.5279,131.76651,564.70873,7.397286,4439.0795,1283.9422,0.201911,0.002,9.566881,15.047252,0.061009,0.045338,5.594245,172829
42106.75,38.626706,4.548415,8.76161,12.64336,7.532129,29.132013,8.159786,0,8.943514,7.175329,0.768967,0.888416,5.073755,57729,252.33002,123.93231,33.553824,7.785359,7.333716,81.630697,67.259957,3.386372,0.098466,5.901018,26.978527,0.17153,0.187592,6.280345,61629,1938.1363,659.56328,126.51997,126.51997,570.47316,7.519122,4480.6153,1287.714,0.996214,7.643228,8.31274,8.31274,3.060368,2.339123,4.77811,115629,54000,38.626706,4.548415,8.76161,12.64336,7.532129,29.132013,9440.2058,8.159786,4.369143,0,8.943514,7.175329,0.768967,0.888416,5.073755,57729,1952.2146,667.56816,129.10202,569.59024,7.569986,4478.4942,1295.5288,0.188458,1.999217,9.579021,11.059473,1.807004,1.456704,5.112845,169629,1979.1011,682.86015,133.04108,567.93227,7.408215,4474.2381,1298.9837,0.20572,0.00205,9.223791,14.913732,0.072082,0.061546,5.587685,169629
42106.792,38.759569,4.403731,9.455355,12.500955,7.538395,28.063945,7.878527,0,8.940587,7.884536,0.467055,0.765217,5.121809,58879,237.39235,116.43875,32.388718,7.581336,7.334285,77.764874,63.368187,3.324537,0.099981,5.750274,26.099474,0.174015,0.195181,6.28429,62779,1945.4198,662.45457,126.96791,126.96791,568.94555,7.521377,4479.5737,1292.7634,0.999626,7.070099,8.26543,8.26543,3.07557,2.366984,4.77346,116779,54000,38.759569,4.403731,9.455355,12.500955,7.538394,28.063945,9301.723,7.878527,4.324631,0,8.940587,7.884536,0.467055,0.765217,5.121809,58879,1954.2701,668.5213,129.31273,566.89019,7.573626,4467.4715,1297.1727,0.187189,2.00198,8.958668,11.043857,1.797008,1.464002,5.115252,170779,1953.7255,674.30721,131.63151,557.46675,7.414312,4400.8795,1282.9726,0.204334,0.002113,8.785285,14.902126,0.079468,0.075159,5.597332,170779
42106.833,39.989483,4.669161,9.955767,12.60408,7.543125,29.906302,8.411672,0,8.813221,8.323976,0.338337,0.717011,5.139737,61229,222.36716,108.94274,30.712888,7.313536,7.334108,73.761453,59.430882,3.204947,0.099725,5.548329,24.811123,0.172899,0.197599,6.283357,65129,1936.4552,659.73114,126.58656,126.58656,562.88992,7.524988,4441.7003,1286.978,1.003116,6.549785,8.376836,8.376836,3.021989,2.359586,4.791977,119129,54000,39.989483,4.669161,9.955767,12.60408,7.543124,29.906302,9244.3118,8.411672,4.236434,0,8.813221,8.323976,0.338337,0.717011,5.139737,61229,1931.2572,660.96567,128.08324,556.81624,7.577351,4397.432,1282.005,0.184648,2.00633,8.424819,11.142729,1.74725,1.448004,5.137527,173129,1918.7218,662.39371,129.4747,544.56992,7.417474,4307.0502,1260.3805,0.201561,0.002183,8.327027,14.739141,0.083606,0.08562,5.610091,173129
42106.875,41.056348,4.928548,10.226779,12.573314,7.547913,31.674501,8.931122,0,8.562525,8.536685,0.299624,0.718459,5.140623,61829,207.93269,101.75156,28.789388,6.946757,7.33387,70.008508,55.642888,3.17578,0.099303,5.273992,23.335211,0.170288,0.198106,6.28234,65729,1907.7404,650.22461,124.97196,124.97196,551.28962,7.52919,4358.8149,1268.0112,1.005343,6.101615,8.459395,8.459395,2.94768,2.33991,4.821489,119729,54000,41.056348,4.928548,10.226779,12.573314,7.547913,31.674501,9246.1334,8.931122,4.214489,0,8.562525,8.536685,0.299624,0.718459,5.140623,61829,1902.5728,651.3056,126.34726,545.63646,7.580464,4317.1833,1263.181,0.184011,2.005071,7.921835,11.051736,1.705218,1.432121,5.159074,173729,1904.2504,657.1005,128.35279,538.51678,7.420461,4266.3829,1252.2037,0.200865,0.002245,7.883234,14.300916,0.085702,0.093074,5.616566,173729
42106.917,41.742874,5.110918,10.360142,12.387215,7.553368,32.870498,9.297391,0,8.230361,8.629316,0.28358,0.730538,5.139655,61479,196.80251,96.207364,26.751452,6.669823,7.33384,67.103259,52.722815,3.192729,0.099228,5.068666,21.783479,0.167777,0.19835,6.282812,65379,1886.6371,643.06337,123.59458,123.59458,542.65153,7.532388,4297.8196,1254.3378,1.00443,5.66524,8.26535,8.26535,2.90671,2.325212,4.842151,119379,54000,41.742874,5.110918,10.360142,12.387215,7.553367,32.870498,9216.5166,9.297391,4.227262,0,8.230361,8.629316,0.28358,0.730538,5.139655,61479,1888.8956,646.49038,125.27896,539.60014,7.582967,4276.3815,1254.6338,0.184382,2.003744,7.386024,10.654266,1.695015,1.426038,5.168988,173379,1897.225,654.20791,127.46652,534.97993,7.423429,4244.7767,1249.039,0.20127,0.002297,7.465575,13.660743,0.089168,0.101914,5.61846,173379
42106.958,41.542836,5.044758,10.404122,11.958174,7.559892,32.286636,9.168695,0,7.881882,8.682486,0.260473,0.728515,5.145955,59729,188.24297,91.928384,25.079422,6.472246,7.33423,64.954599,50.49078,3.280264,0.100125,4.922787,20.522946,0.167604,0.200195,6.286126,63629,1877.3397,639.67055,122.67311,122.67311,538.08975,7.534324,4267.9214,1248.7282,1.003926,5.220369,7.763734,7.763734,2.921658,2.324319,4.847618,117629,54000,41.542836,5.044758,10.404122,11.958174,7.559892,32.286636,9184.1558,9.168695,4.292309,0,7.881882,8.682486,0.260473,0.728515,5.145955,59729,1885.5351,644.98643,124.6071,537.05013,7.584762,4262.1914,1253.0944,0.186262,2.002193,6.858145,9.998832,1.71564,1.429688,5.167277,171629,1906.9521,656.77336,127.55464,536.86166,7.427546,4264.9626,1257.2584,0.203322,0.002342,7.07774,12.934624,0.096115,0.1153,5.614177,171629
